obfuscation,seed,n_entities,n_launderers,model,comparison,metric,d_point,ci_lo,ci_hi,equiv_bound,verdict,T2_auc,hi_auc,T2_ap,hi_ap,audit_pass,audit_worst_feature,audit_worst_auc
0.7,20260707,8000,388,gboost,T2_vs_T4,ap,0.01187591926105136,0.005962938720690353,0.018256051900276536,0.018256051900276536,EQUIVALENT,0.9908278640345413,0.993822491345732,0.9636640953886951,0.9755400146497465,True,w_frac_fast_mean,0.8262059769977952
0.7,20260708,8000,426,logit,T2_vs_T3,auc,0.006491196098339813,0.0037401075535209495,0.009438223060409968,0.009438223060409968,EQUIVALENT,0.9744204599128969,0.9809116560112368,0.8475705799343202,0.8773174467283568,True,w_frac_fast_mean,0.8222359418370977
0.7,20260708,8000,426,logit,T2_vs_T3,ap,0.029746866794036597,0.020476170809198346,0.03963899451595355,0.03963899451595355,INCONCLUSIVE,0.9744204599128969,0.9809116560112368,0.8475705799343202,0.8773174467283568,True,w_frac_fast_mean,0.8222359418370977
0.7,20260708,8000,426,logit,T2_vs_T4,auc,0.009094616993396087,0.005611168733483496,0.012785109777004826,0.012785109777004826,EQUIVALENT,0.9744204599128969,0.983515076906293,0.8475705799343202,0.9048940948272522,True,w_frac_fast_mean,0.8222359418370977
0.7,20260708,8000,426,logit,T2_vs_T4,ap,0.05732351489293208,0.044863737447696374,0.07062200303840953,0.07062200303840953,SURVEILLANCE_SUPERIOR,0.9744204599128969,0.983515076906293,0.8475705799343202,0.9048940948272522,True,w_frac_fast_mean,0.8222359418370977
0.7,20260708,8000,426,gboost,T2_vs_T3,auc,0.003736838777582352,0.0003324522661817431,0.008348882252235757,0.008348882252235757,EQUIVALENT,0.9863391687153109,0.9900760074928933,0.9530437656661533,0.9590863076507231,True,w_frac_fast_mean,0.8222359418370977
0.7,20260708,8000,426,gboost,T2_vs_T3,ap,0.006042541984569771,0.0013653797506044674,0.010862174182427386,0.010862174182427386,EQUIVALENT,0.9863391687153109,0.9900760074928933,0.9530437656661533,0.9590863076507231,True,w_frac_fast_mean,0.8222359418370977
0.7,20260708,8000,426,gboost,T2_vs_T4,auc,0.005149194613150332,0.0016527531029140563,0.009923529413471277,0.009923529413471277,EQUIVALENT,0.9863391687153109,0.9914883633284612,0.9530437656661533,0.9675438984879543,True,w_frac_fast_mean,0.8222359418370977
0.7,20260708,8000,426,gboost,T2_vs_T4,ap,0.01450013282180096,0.007970685312803849,0.022043551149177294,0.022043551149177294,EQUIVALENT,0.9863391687153109,0.9914883633284612,0.9530437656661533,0.9675438984879543,True,w_frac_fast_mean,0.8222359418370977
0.7,20260709,8000,383,logit,T2_vs_T3,auc,0.005496842811753666,0.0022781137389477233,0.008801852860254877,0.008801852860254877,EQUIVALENT,0.9778714028089566,0.9833682456207102,0.850380794180115,0.8836312641829481,True,w_frac_fast_mean,0.8337177626931102
0.7,20260709,8000,383,logit,T2_vs_T3,ap,0.0332504700028331,0.023828405514461158,0.04376317770263074,0.04376317770263074,INCONCLUSIVE,0.9778714028089566,0.9833682456207102,0.850380794180115,0.8836312641829481,True,w_frac_fast_mean,0.8337177626931102
0.7,20260709,8000,383,logit,T2_vs_T4,auc,0.010242651537666014,0.006271536729672189,0.014246476528374297,0.014246476528374297,EQUIVALENT,0.9778714028089566,0.9881140543466226,0.850380794180115,0.913869309555453,True,w_frac_fast_mean,0.8337177626931102
0.7,20260709,8000,383,logit,T2_vs_T4,ap,0.06348851537533795,0.0488900727246777,0.07861715386987224,0.07861715386987224,SURVEILLANCE_SUPERIOR,0.9778714028089566,0.9881140543466226,0.850380794180115,0.913869309555453,True,w_frac_fast_mean,0.8337177626931102
0.7,20260709,8000,383,gboost,T2_vs_T3,auc,0.00034106751045737127,-0.0003586554397639219,0.001087416156333587,0.001087416156333587,EQUIVALENT,0.9972073597912599,0.9975484273017172,0.9692862621647691,0.972774280254512,True,w_frac_fast_mean,0.8337177626931102
0.7,20260709,8000,383,gboost,T2_vs_T3,ap,0.0034880180897428614,-0.0006500719078694872,0.007743475110839181,0.007743475110839181,EQUIVALENT,0.9972073597912599,0.9975484273017172,0.9692862621647691,0.972774280254512,True,w_frac_fast_mean,0.8337177626931102
0.7,20260709,8000,383,gboost,T2_vs_T4,auc,0.0007846266647607569,-4.994021146952909e-05,0.0017682085418233018,0.0017682085418233018,EQUIVALENT,0.9972073597912599,0.9979919864560206,0.9692862621647691,0.9781103549165515,True,w_frac_fast_mean,0.8337177626931102
0.7,20260709,8000,383,gboost,T2_vs_T4,ap,0.00882409275178242,0.003472883594841364,0.015230187869023748,0.015230187869023748,EQUIVALENT,0.9972073597912599,0.9979919864560206,0.9692862621647691,0.9781103549165515,True,w_frac_fast_mean,0.8337177626931102
0.8,20260707,8000,388,logit,T2_vs_T3,auc,0.004863793467720479,0.0015920723295824834,0.00826345079787789,0.00826345079787789,EQUIVALENT,0.9794664284824287,0.9843302219501492,0.8713299040421104,0.8953382416656198,True,internal_vol,0.8207654016176303
0.8,20260707,8000,388,logit,T2_vs_T3,ap,0.0240083376235094,0.015086980893289382,0.03296907188662485,0.03296907188662485,INCONCLUSIVE,0.9794664284824287,0.9843302219501492,0.8713299040421104,0.8953382416656198,True,internal_vol,0.8207654016176303
0.8,20260707,8000,388,logit,T2_vs_T4,auc,0.010231742067598248,0.006121544955190866,0.015088876095264601,0.015088876095264601,EQUIVALENT,0.9794664284824287,0.989698170550027,0.8713299040421104,0.9232483085605759,True,internal_vol,0.8207654016176303
0.8,20260707,8000,388,logit,T2_vs_T4,ap,0.05191840451846552,0.03873186834640824,0.06670014326340136,0.06670014326340136,SURVEILLANCE_SUPERIOR,0.9794664284824287,0.989698170550027,0.8713299040421104,0.9232483085605759,True,internal_vol,0.8207654016176303
0.8,20260707,8000,388,gboost,T2_vs_T3,auc,-0.0002507232205255505,-0.002069844232696427,0.0013884030580109561,0.002069844232696427,EQUIVALENT,0.9932594221820132,0.9930086989614877,0.9632735985606535,0.9642424675265895,True,internal_vol,0.8207654016176303
0.8,20260707,8000,388,gboost,T2_vs_T3,ap,0.000968868965935954,-0.002612672843933117,0.0044542012516583735,0.0044542012516583735,EQUIVALENT,0.9932594221820132,0.9930086989614877,0.9632735985606535,0.9642424675265895,True,internal_vol,0.8207654016176303
0.8,20260707,8000,388,gboost,T2_vs_T4,auc,0.0009158761803120807,-0.0007069012254618756,0.0025411692256880774,0.0025411692256880774,EQUIVALENT,0.9932594221820132,0.9941752983623253,0.9632735985606535,0.9731928097201972,True,internal_vol,0.8207654016176303
0.8,20260707,8000,388,gboost,T2_vs_T4,ap,0.00991921115954364,0.005573157932144829,0.014612151694696924,0.014612151694696924,EQUIVALENT,0.9932594221820132,0.9941752983623253,0.9632735985606535,0.9731928097201972,True,internal_vol,0.8207654016176303
0.8,20260708,8000,426,logit,T2_vs_T3,auc,0.007079755179258074,0.003795252903704871,0.010591379031425412,0.010591379031425412,EQUIVALENT,0.9754246365438471,0.9825043917231052,0.8469287143486143,0.8753992657142268,True,w_frac_fast_mean,0.8304602724170035
0.8,20260708,8000,426,logit,T2_vs_T3,ap,0.028470551365612495,0.019344601125444942,0.038591739114660996,0.038591739114660996,INCONCLUSIVE,0.9754246365438471,0.9825043917231052,0.8469287143486143,0.8753992657142268,True,w_frac_fast_mean,0.8304602724170035
0.8,20260708,8000,426,logit,T2_vs_T4,auc,0.012647976584088783,0.008258563069385393,0.0171731450425374,0.0171731450425374,EQUIVALENT,0.9754246365438471,0.9880726131279359,0.8469287143486143,0.9115715435210828,True,w_frac_fast_mean,0.8304602724170035
0.8,20260708,8000,426,logit,T2_vs_T4,ap,0.06464282917246855,0.04933024789152905,0.0797391059250778,0.0797391059250778,SURVEILLANCE_SUPERIOR,0.9754246365438471,0.9880726131279359,0.8469287143486143,0.9115715435210828,True,w_frac_fast_mean,0.8304602724170035
0.8,20260708,8000,426,gboost,T2_vs_T3,auc,0.0010870831892156874,-0.0007171422348049517,0.0029074841141278284,0.0029074841141278284,EQUIVALENT,0.9925171794785966,0.9936042626678123,0.9570303678056817,0.965580733939343,True,w_frac_fast_mean,0.8304602724170035
0.8,20260708,8000,426,gboost,T2_vs_T3,ap,0.008550366133661225,0.003080708928642367,0.014289325769895828,0.014289325769895828,EQUIVALENT,0.9925171794785966,0.9936042626678123,0.9570303678056817,0.965580733939343,True,w_frac_fast_mean,0.8304602724170035
0.8,20260708,8000,426,gboost,T2_vs_T4,auc,0.003174778802203293,0.0014451403353732406,0.005001980521289101,0.005001980521289101,EQUIVALENT,0.9925171794785966,0.9956919582807999,0.9570303678056817,0.9731797935075744,True,w_frac_fast_mean,0.8304602724170035
